SKU,WSlink,ThrLink,multiurl,multipack quantity,DeliveryPriceTHR90001,DeliveryPriceWS10001,DeliveryPriceTHR10001,DeliveryPriceWS90001,asin,item-name,price,estimated-referral-fee-per-item
THR-TRASH-CAN_50_blue_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-50-gallon-blue-wheeled-rectangular-trash-can-with-lid-and-step-on-attachment/475TCW50BLKT.html,https://www.therestaurantstore.com/items/593580,No,,0,0,0,0,B0BXJWPR3L,"Krollen Industrial 50 Gallon Blue Wheeled Rectangular Outdoor Trash Can with Lid and Step-On Attachment, Hands-Free Disposal for Commercial Use",269.99,40.5
THR-TRASH-CAN_50_gray_step_on_B,https://www.webstaurantstore.com/lavex-50-gallon-gray-wheeled-trash-can-with-step-on-attachment/475TCW50GYKT.html,https://www.therestaurantstore.com/items/593406,No,,0,0,0,0,B0BXJX9VC1,"Krollen Industrial 50 Gallon Gray Wheeled Rectangular Outdoor Trash Can with Lid and Step-On Attachment, Hands-Free Disposal for Commercial Use",269.99,40.5
THR-TRASH-CAN_50_green_step_on_B,https://www.webstaurantstore.com/lavex-50-gallon-green-wheeled-trash-can-with-step-on-attachment/475TCW50GNKT.html,https://www.therestaurantstore.com/items/593494,No,,0,0,0,0,B0BXJXZTNJ,"Krollen Industrial 50 Gallon Green Wheeled Rectangular Outdoor Trash Can with Lid and Step-On Attachment, Hands-Free Disposal for Commercial Use",269.99,40.5
THR-TRASH-CAN_50_red_step_on_B,https://www.webstaurantstore.com/lavex-50-gallon-red-wheeled-trash-can-with-step-on-attachment/475TCW50RDKT.html,https://www.therestaurantstore.com/items/593452,No,,0,0,0,0,B0BXJYXPH7,"Krollen Industrial 50 Gallon Red Wheeled Rectangular Outdoor Trash Can with Lid and Step-On Attachment, Hands-Free Disposal for Commercial Use",269.99,40.5
THR-TRASH-CAN_50_yellow_step_on_B,https://www.webstaurantstore.com/lavex-50-gallon-yellow-wheeled-trash-can-with-step-on-attachment/475TCW50YLKT.html,https://www.therestaurantstore.com/items/593497,No,,0,0,0,0,B0BXJYQ6WL,"Krollen Industrial 50 Gallon Yellow Wheeled Rectangular Outdoor Trash Can with Lid and Step-On Attachment, Hands-Free Disposal for Commercial Use",269.99,40.5
THR-TRASH-CAN_64_blue_r_set_x4,https://www.webstaurantstore.com/lavex-janitorial-64-gallon-blue-wheeled-rectangular-recycle-bin-with-lid-and-step-on-attachment/475TCW64BRKT.html,https://www.therestaurantstore.com/items/593564,Yes,4.0,0,0,0,0,B0BW9LBY4F,Krollen Industrial 64 Gallon Blue Recycle Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,699.99,105.0
THR-TRASH-CAN_64_blue_set_x4,https://www.webstaurantstore.com/lavex-janitorial-64-gallon-blue-wheeled-rectangular-trash-can-with-lid-and-step-on-attachment/475TCW64BLKT.html,https://www.therestaurantstore.com/items/593504,Yes,4.0,0,0,0,0,B0BW9ND2RB,Krollen Industrial 64 Gallon Blue Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,699.99,105.0
THR-TRASH-CAN_64_gray_set_x4,https://www.webstaurantstore.com/lavex-64-gallon-gray-wheeled-trash-can-with-step-on-attachment/475TCW64GYKT.html,https://www.therestaurantstore.com/items/593464,Yes,4.0,0,0,0,0,B0BW9PF3PY,Krollen Industrial 64 Gallon Gray Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,699.99,105.0
THR-TRASH-CAN_64_green_set_x4,https://www.webstaurantstore.com/lavex-64-gallon-green-wheeled-trash-can-with-step-on-attachment/475TCW64GNKT.html,https://www.therestaurantstore.com/items/593517,Yes,4.0,0,0,0,0,B0BW9JMYB5,Krollen Industrial 64 Gallon Green Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,699.99,105.0
THR-TRASH-CAN_64_red_set_x4,https://www.webstaurantstore.com/lavex-64-gallon-red-wheeled-trash-can-with-step-on-attachment/475TCW64RDKT.html,https://www.therestaurantstore.com/items/593434,Yes,4.0,0,0,0,0,B0BW9P3HJF,Krollen Industrial 64 Gallon Red Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,709.99,106.5
THR-TRASH-CAN_64_yellow_set_x4,https://www.webstaurantstore.com/lavex-64-gallon-yellow-wheeled-trash-can-with-step-on-attachment/475TCW64YLKT.html,https://www.therestaurantstore.com/items/593454,Yes,4.0,0,0,0,0,B0BW9PWBLG,Krollen Industrial 64 Gallon Yellow Wheeled Rectangular Trash Can with Lid and Step-On Attachment Set of 4,709.99,106.5
THR-TRASH-CAN_8_beige_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-32-qt-8-gallon-beige-rectangular-step-on-trash-can/475TCSTR8BG.html,https://www.therestaurantstore.com/items/574131,No,,0,0,0,0,B0BXJZSXMC,"Krollen Industrial 32 Qt. / 8 Gallon Beige Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",89.99,13.5
THR-TRASH-CAN_8_black_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-32-qt-8-gallon-black-rectangular-step-on-trash-can/475TCSTR8BK.html,https://www.therestaurantstore.com/items/574065,No,,0,0,0,0,B0BXJWPR3P,"Krollen Industrial 32 Qt. / 8 Gallon Black Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",89.99,13.5
THR-TRASH-CAN_8_blue_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-32-qt-8-gallon-blue-rectangular-step-on-trash-can/475TCSTR8BL.html,https://www.therestaurantstore.com/items/573991,No,,0,0,0,0,B0BXJWP2GD,"Krollen Industrial 32 Qt. / 8 Gallon Blue Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",89.99,13.5
THR-TRASH-CAN_8_gray_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-32-qt-8-gallon-gray-rectangular-step-on-trash-can/475TCSTR8GY.html,https://www.therestaurantstore.com/items/574091,No,,0,0,0,0,B0BXJYP4DY,"Krollen Industrial 32 Qt. / 8 Gallon Gray Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",89.99,13.5
THR-TRASH-CAN_8_green_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-32-qt-8-gallon-green-rectangular-step-on-trash-can/475TCSTR8GN.html,https://www.therestaurantstore.com/items/574070,No,,0,0,0,0,B0BXJY2J8J,"Krollen Industrial 32 Qt. / 8 Gallon Green Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",89.99,13.5
THR-TRASH-CAN_8_red_step_on_B,https://www.webstaurantstore.com/lavex-janitorial-32-qt-8-gallon-red-rectangular-step-on-trash-can/475TCSTR8RD.html,https://www.therestaurantstore.com/items/574017,No,,0,0,0,0,B0BXJZB86S,"Krollen Industrial 32 Qt. / 8 Gallon Red Rectangular Step-On Trash Can, Hands-Free Disposal, Garbage Bin with Foot Pedal",89.99,13.5
