ASIN,SKU,Name,ThrLink,WSlink,PricingStrategy,BasicHndlingTime,Price,DeliveryPriceTHR10001,DeliveryPriceWS10001,DeliveryPriceTHR90001,DeliveryPriceWS90001,ThresholdForMedianHTCalculation,OrdersCount,UnitsSoldCount,ReturnsCount,AZCount,ItemNumber,StockAviability,FreeShippingWithPlus,estimated_referral_fee
B0B4WL3WGN,THR-TRASH-CAN_32_white_lid,Krollen Industrial 32 Gallon White Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/452943,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-white-round-ingredient-bin-commercial-trash-can-and-lid/475TCL32WHKT.html,,3,,,,,,10,,,,,,,,
B0B4WH8K37,THR-TRASH-CAN_32_white_lid_dolly,Krollen Industrial 32 Gallon White Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452834,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-white-round-ingredient-bin-commercial-trash-can-with-lid-and-dolly/475TC32WHKIT.html,,3,,,,,,10,,,,,,,,
B0B4WG4HD5,THR-TRASH-CAN_32_yellow,Krollen Industrial 32 Gallon Yellow Round Commercial Trash Can,https://www.therestaurantstore.com/items/451992,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-yellow-round-commercial-trash-can/475TCRND32YW.html,,3,,,,,,10,,,,,,,,
B0B4WH86CV,THR-TRASH-CAN_32_yellow_lid,Krollen Industrial 32 Gallon Yellow Round Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/453091,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-yellow-round-commercial-trash-can-and-lid/475TCL32YWKT.html,,3,,,,,,10,,,,,,,,
B0B4WG6883,THR-TRASH-CAN_32_yellow_lid_dolly,Krollen Industrial 32 Gallon Yellow Round Commercial Trash Can with Lid and Dolly,https://www.therestaurantstore.com/items/452732,https://www.webstaurantstore.com/lavex-janitorial-32-gallon-yellow-round-commercial-trash-can-with-lid-and-dolly/475TC32YWKIT.html,,3,,,,,,10,,,,,,,,
B0B4B8JG22,THR-TRASH-CAN_35_black,Krollen Industrial 35 Gallon Black Square Commercial Trash Can,https://www.therestaurantstore.com/items/490501,https://www.webstaurantstore.com/lavex-janitorial-35-gallon-black-square-wastebasket-trash-can/475SQ35BK.html,,3,,,,,,10,,,,,,,,
B0B4B7XCCZ,THR-TRASH-CAN_35_black_lid,Krollen Industrial 35 Gallon Black Square Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/490469,https://www.webstaurantstore.com/lavex-janitorial-35-gallon-black-square-trash-can-swing-lid/475SQLD35BK.html,,3,,,,,,10,,,,,,,,
B0B4B6WPPJ,THR-TRASH-CAN_35_blue,Krollen Industrial 35 Gallon Blue Square Commercial Trash Can,https://www.therestaurantstore.com/items/569399,https://www.webstaurantstore.com/wastecan-35-gal-square-bl/475SQ35BLREC.html,,3,,,,,,10,,,,,,,,
B0B4B7MJN6,THR-TRASH-CAN_35_blue_lid,Krollen Industrial 35 Gallon Blue Square Commercial Trash Can with Lid,https://www.therestaurantstore.com/items/569382,https://www.webstaurantstore.com/lid-swing-35-gal-square-d/475SQLD35BL.html,,3,,,,,,10,,,,,,,,
B0B4B7KX77,THR-TRASH-CAN_35_grey,Krollen Industrial 35 Gallon Grey Square Commercial Trash Can,https://www.therestaurantstore.com/items/569438,https://www.webstaurantstore.com/wastecan-35-gal-square-gr/475SQ35GY.html,,3,,,,,,10,,,,,,,,
