SKU,WSlink,ThrLink,multiurl,multipack quantity,DeliveryPriceTHR90001,DeliveryPriceWS10001,DeliveryPriceTHR10001,DeliveryPriceWS90001
THR-CAGE-CP-0007_chrome,https://www.webstaurantstore.com/regency-18-x-36-nsf-chrome-wire-shelf/460EC1836.html,https://www.therestaurantstore.com/items/55511,No,,0,0,0,0
THR-CAGE-CP-0007_chrome_x2,https://www.webstaurantstore.com/regency-18-x-36-nsf-chrome-wire-shelf/460EC1836.html,https://www.therestaurantstore.com/items/55511,Yes,2,0,0,0,0
THR-CAGE-CP-0007_chrome_x4,https://www.webstaurantstore.com/regency-18-x-36-nsf-chrome-wire-shelf/460EC1836.html,https://www.therestaurantstore.com/items/55511,Yes,4,0,0,0,0
THR-CAGE-CP-0007_green,https://www.webstaurantstore.com/regency-18-x-36-nsf-green-epoxy-wire-shelf/460EG1836.html,https://www.therestaurantstore.com/items/10757,No,,0,0,0,0
THR-CAGE-CP-0007_green_x2,https://www.webstaurantstore.com/regency-18-x-36-nsf-green-epoxy-wire-shelf/460EG1836.html,https://www.therestaurantstore.com/items/10757,Yes,2,0,0,0,0
THR-CAGE-CP-0007_green_x4,https://www.webstaurantstore.com/regency-18-x-36-nsf-green-epoxy-wire-shelf/460EG1836.html,https://www.therestaurantstore.com/items/10757,Yes,4,0,0,0,0
THR-CAGE-CP-0008_chrome,https://www.webstaurantstore.com/regency-18-x-42-nsf-chrome-wire-shelf/460EC1842.html,https://www.therestaurantstore.com/items/38494,No,,0,0,0,0
THR-CAGE-CP-0008_chrome_x2,https://www.webstaurantstore.com/regency-18-x-42-nsf-chrome-wire-shelf/460EC1842.html,https://www.therestaurantstore.com/items/38494,Yes,2,0,0,0,0
THR-CAGE-CP-0008_chrome_x4,https://www.webstaurantstore.com/regency-18-x-42-nsf-chrome-wire-shelf/460EC1842.html,https://www.therestaurantstore.com/items/38494,Yes,4,0,0,0,0
THR-CAGE-CP-0008_green,https://www.webstaurantstore.com/regency-18-x-42-nsf-green-epoxy-wire-shelf/460EG1842.html,https://www.therestaurantstore.com/items/57432,No,,0,0,0,0
THR-CAGE-CP-0008_green_x2,https://www.webstaurantstore.com/regency-18-x-42-nsf-green-epoxy-wire-shelf/460EG1842.html,https://www.therestaurantstore.com/items/57432,Yes,2,0,0,0,0
THR-CAGE-CP-0008_green_x4,https://www.webstaurantstore.com/regency-18-x-42-nsf-green-epoxy-wire-shelf/460EG1842.html,https://www.therestaurantstore.com/items/57432,Yes,4,0,0,0,0
THR-CAGE-CP-0009_chrome,https://www.webstaurantstore.com/regency-18-x-48-nsf-chrome-wire-shelf/460EC1848.html,https://www.therestaurantstore.com/items/52382,No,,0,0,0,0
THR-CAGE-CP-0009_chrome_x2,https://www.webstaurantstore.com/regency-18-x-48-nsf-chrome-wire-shelf/460EC1848.html,https://www.therestaurantstore.com/items/52382,Yes,2,0,0,0,0
THR-CAGE-CP-0009_chrome_x4,https://www.webstaurantstore.com/regency-18-x-48-nsf-chrome-wire-shelf/460EC1848.html,https://www.therestaurantstore.com/items/52382,Yes,4,0,0,0,0
THR-CAGE-CP-0009_green,https://www.webstaurantstore.com/regency-18-x-48-nsf-green-epoxy-wire-shelf/460EG1848.html,https://www.therestaurantstore.com/items/23720,No,,0,0,0,0
THR-CAGE-CP-0009_green_x2,https://www.webstaurantstore.com/regency-18-x-48-nsf-green-epoxy-wire-shelf/460EG1848.html,https://www.therestaurantstore.com/items/23720,Yes,2,0,0,0,0
THR-CAGE-CP-0009_green_x4,https://www.webstaurantstore.com/regency-18-x-48-nsf-green-epoxy-wire-shelf/460EG1848.html,https://www.therestaurantstore.com/items/23720,Yes,4,0,0,0,0
THR-CAGE-CP-0010_chrome,https://www.webstaurantstore.com/regency-18-x-54-nsf-chrome-wire-shelf/460EC1854.html,https://www.therestaurantstore.com/items/30346,No,,0,0,0,0
THR-CAGE-CP-0010_chrome_x2,https://www.webstaurantstore.com/regency-18-x-54-nsf-chrome-wire-shelf/460EC1854.html,https://www.therestaurantstore.com/items/30346,Yes,2,0,0,0,0
THR-CAGE-CP-0010_chrome_x4,https://www.webstaurantstore.com/regency-18-x-54-nsf-chrome-wire-shelf/460EC1854.html,https://www.therestaurantstore.com/items/30346,Yes,4,0,0,0,0
THR-CAGE-CP-0010_green,https://www.webstaurantstore.com/regency-18-x-54-nsf-green-epoxy-wire-shelf/460EG1854.html,https://www.therestaurantstore.com/items/21261,No,,0,0,0,0
THR-CAGE-CP-0010_green_x2,https://www.webstaurantstore.com/regency-18-x-54-nsf-green-epoxy-wire-shelf/460EG1854.html,https://www.therestaurantstore.com/items/21261,Yes,2,0,0,0,0
THR-CAGE-CP-0010_green_x4,https://www.webstaurantstore.com/regency-18-x-54-nsf-green-epoxy-wire-shelf/460EG1854.html,https://www.therestaurantstore.com/items/21261,Yes,4,0,0,0,0
THR-CAGE-CP-0011_chrome,https://www.webstaurantstore.com/regency-18-x-60-nsf-chrome-wire-shelf/460EC1860.html,https://www.therestaurantstore.com/items/21533,No,,0,0,0,0
THR-CAGE-CP-0011_chrome_x2,https://www.webstaurantstore.com/regency-18-x-60-nsf-chrome-wire-shelf/460EC1860.html,https://www.therestaurantstore.com/items/21533,Yes,2,0,0,0,0
THR-CAGE-CP-0011_chrome_x4,https://www.webstaurantstore.com/regency-18-x-60-nsf-chrome-wire-shelf/460EC1860.html,https://www.therestaurantstore.com/items/21533,Yes,4,0,0,0,0
THR-CAGE-CP-0011_green,https://www.webstaurantstore.com/regency-18-x-60-nsf-green-epoxy-wire-shelf/460EG1860.html,https://www.therestaurantstore.com/items/18427,No,,0,0,0,0
